sample_id,pae_mean,pae_min,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry
v0,2.0797088146209717,0.800000011920929,5.300000190734863,0.756803572177887,2.0999999046325684,1.100000023841858,3.0,0.9979188345473465,0.0,0.4270551800727844
v1,13.56368350982666,0.800000011920929,28.399999618530273,11.08353328704834,7.0,1.7999999523162842,27.100000381469727,0.3870967741935484,0.413111342351717,1.4104059934616089
v10,8.959490776062012,0.800000011920929,21.799999237060547,6.095830917358398,7.800000190734863,1.6500000357627869,17.600000381469727,0.3881172839506173,0.2183641975308642,2.758179187774658
v100,13.88888931274414,0.800000011920929,28.5,10.441105842590332,11.0,1.399999976158142,27.100000381469727,0.29398148148148145,0.4212962962962963,3.133950710296631
v1000,3.7052340507507324,0.800000011920929,19.399999618530273,2.9013216495513916,3.0999999046325684,1.1800000429153454,7.0,0.8236914600550964,0.012855831037649219,1.9276399612426758
v1001,4.903506278991699,0.800000011920929,17.200000762939453,3.158802032470703,4.300000190734863,1.2999999523162842,9.219999885559087,0.6026296566837107,0.009495982468955442,2.411541223526001
v1002,13.226813316345215,0.800000011920929,29.700000762939453,11.912800788879395,5.699999809265137,1.2999999523162842,28.5,0.46831955922865015,0.4086317722681359,2.244995355606079
v1003,3.6964187622070312,0.800000011920929,21.0,3.4715285301208496,2.5,1.100000023841858,8.36000022888185,0.8071625344352618,0.021120293847566574,2.2953169345855713
v1004,3.436882972717285,0.800000011920929,16.799999237060547,2.5291566848754883,2.799999952316284,1.2000000476837158,6.5,0.8472222222222222,0.004629629629629629,1.7592592239379883
v1005,3.784072160720825,0.800000011920929,13.5,2.197258710861206,3.299999952316284,1.2999999523162842,6.900000095367432,0.8005540166204986,0.0,1.6764543056488037
v1006,8.994122505187988,0.800000011920929,22.799999237060547,7.692008972167969,4.699999809265137,1.2999999523162842,19.799999237060547,0.5159183673469387,0.37714285714285717,1.755428671836853
v1007,2.6073241233825684,0.800000011920929,12.300000190734863,1.637617826461792,2.200000047683716,1.100000023841858,4.599999904632568,0.9111328125,0.0,1.1630859375
v1008,13.087111473083496,0.800000011920929,28.0,10.933462142944336,6.699999809265137,1.7999999523162842,26.700000762939453,0.42444444444444446,0.42,1.6120001077651978
v1009,3.939196825027466,0.800000011920929,20.200000762939453,3.301785707473755,2.9000000953674316,1.2000000476837158,8.0,0.8012465373961218,0.02146814404432133,2.25789475440979
v101,8.512578010559082,0.800000011920929,24.600000381469727,7.605222702026367,3.799999952316284,1.2999999523162842,19.899999618530273,0.5648148148148148,0.34953703703703703,2.127314805984497
v1010,3.363494873046875,0.800000011920929,17.700000762939453,3.1683967113494873,2.200000047683716,1.100000023841858,7.900000095367432,0.8434256055363322,0.014705882352941176,2.2256054878234863
v1011,5.5631489753723145,0.800000011920929,14.899999618530273,3.9289438724517822,3.700000047683716,1.399999976158142,11.100000381469727,0.5899653979238755,0.0,0.8937717080116272
v1012,12.355836868286133,0.800000011920929,25.299999237060547,7.423076152801514,13.0,2.299999952316284,21.299999237060547,0.24,0.4530612244897959,2.7684895992279053
v1013,2.1160032749176025,0.800000011920929,7.300000190734863,1.0711512565612793,1.899999976158142,1.0,3.4000000953674316,0.9697231833910035,0.0,0.6987889409065247
v1014,3.298614978790283,0.800000011920929,10.899999618530273,1.5674620866775513,3.0999999046325684,1.399999976158142,5.300000190734863,0.868421052631579,0.0,1.1836564540863037
v1015,3.6121973991394043,0.800000011920929,18.0,3.0941171646118164,2.5999999046325684,1.100000023841858,7.549999952316284,0.8209342560553633,0.012975778546712802,2.175259590148926
v1016,11.70986270904541,0.800000011920929,28.299999237060547,9.773245811462402,7.099999904632568,1.2999999523162842,25.399999618530273,0.4089414858645628,0.39513477975016437,3.5462193489074707
v1017,13.413769721984863,0.800000011920929,29.899999618530273,11.80435562133789,6.5,1.5,28.799999237060547,0.4443359375,0.404296875,2.0865235328674316
v1018,2.258587121963501,0.800000011920929,10.600000381469727,1.52992844581604,1.7999999523162842,1.0,3.9000000953674316,0.9342105263157895,0.0,1.0299168825149536
v1019,3.0609207153320312,0.800000011920929,15.199999809265137,2.581537961959839,2.200000047683716,1.100000023841858,6.219999885559087,0.8655953250547845,0.0014609203798392988,1.7794010639190674
v102,1.6446727514266968,0.800000011920929,4.199999809265137,0.5759700536727905,1.5,1.0,2.4000000953674316,1.0,0.0,0.36841532588005066
v1020,9.840916633605957,0.800000011920929,21.700000762939453,6.7002692222595215,7.599999904632568,1.7999999523162842,18.899999618530273,0.3391003460207612,0.3538062283737024,2.462110996246338
